표준링크ID,시작노드ID,종료노드ID,차로수,도로등급코드,도로등급코드명,도로유형코드,도로유형코드명,도로번호,도로명,도로사용여부코드,도로사용코드명,중용구간여부코드,중용구간여부코드명,연결로코드,연결로코드명,최고제한속도,통행제한차량코드,통행제한차량코드명,통과제한하중,통과제한높이,지도거리,버스전용차로여부,버스전용차로운영코드,링크ID,표준링크순서
1240021600,1240006000,1240006400,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,280.0,,,1240021600,1
1240021701,1240023500,1240001400,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,205.0,,,1240021700,3
1240021702,1240023400,1240023500,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,64.0,,,1240021700,2
1240021703,1240006300,1240023400,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,96.0,,,1240021700,1
1240021801,1240001400,1240023500,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,205.0,,,1240021800,2
1240021802,1240023500,1240023400,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,64.0,,,1240021800,3
1240021803,1240023400,1240006300,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,96.0,,,1240021800,4
1240021901,1240006700,1240005800,2,104,특별.광역시도,000,일반도로,-,고덕로80길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,362.0,,,1240021900,1
1240022001,1240005800,1240006700,2,104,특별.광역시도,000,일반도로,-,고덕로80길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,364.0,,,1240022000,1
1240022100,1240023700,1240006400,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,293.0,,,1240022100,1
1240022200,1240006400,1240023700,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,293.0,,,1240022200,1
1240022300,1240006600,1240023200,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,176.0,,,1240022300,1
1240022400,1240023200,1240006600,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,176.0,,,1240022400,1
1240024801,1240024000,1240024800,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,176.0,,,1240024800,1
1240022500,1240007000,1240005900,3,104,특별.광역시도,000,일반도로,-,상일로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,400.0,,,1240022500,1
1240022600,1240005900,1240007000,3,104,특별.광역시도,000,일반도로,-,상일로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,396.0,,,1240022600,1
1240022700,1240024000,1240023100,3,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,212.0,,,1240022700,1
1240022800,1240023100,1240024000,3,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,212.0,,,1240022800,1
1240022900,1240006700,1240023700,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,792.0,,,1240022900,1
1240023000,1240023700,1240006700,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,792.0,,,1240023000,1
1240023100,1240024400,1240006400,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,258.0,,,1240023100,1
1240023200,1240006400,1240024400,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,265.0,,,1240023200,1
1240023300,1240024000,1240006600,1,104,특별.광역시도,000,일반도로,-,양재대로156길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,376.0,,,1240023300,1
1240023400,1240006600,1240024000,1,104,특별.광역시도,000,일반도로,-,양재대로156길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,380.0,,,1240023400,1
1240023500,1240024700,1240023700,3,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,243.0,,,1240023500,1
1240023600,1240023700,1240024700,3,104,특별.광역시도,000,일반도로,-,동남로,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,243.0,,,1240023600,1
1240023700,1240024400,1240006600,1,104,특별.광역시도,000,일반도로,-,양재대로156길,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,324.0,,,1240023700,1
1240023800,1240006600,1240024400,1,104,특별.광역시도,000,일반도로,-,양재대로156길,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,329.0,,,1240023800,1
1240023901,1240023900,1240023800,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,501.0,,,1240023900,4
1240023903,1240007200,1240024300,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,558.0,,,1240023900,1
1240023904,1240024300,1240023901,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,136.0,,,1240023900,2
1240023905,1240023901,1240023900,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,130.0,,,1240023900,3
1240024001,1240023800,1240023900,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,495.0,,,1240024000,1
1240024003,1240024300,1240007200,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,562.0,,,1240024000,4
1240024004,1240023900,1240023901,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,131.0,,,1240024000,2
1240024005,1240023901,1240024300,2,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,136.0,,,1240024000,3
1240024101,1240024200,1240006700,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,301.0,,,1240024100,2
1240024102,1240007000,1240024200,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,228.0,,,1240024100,1
1240024201,1240006700,1240024200,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,301.0,,,1240024200,1
1240024202,1240024200,1240007000,2,104,특별.광역시도,000,일반도로,-,고덕로,0,사용,0,독립구간,000,연결로 아님,40,0,모두통행가능,0,0,222.0,,,1240024200,2
1240024301,1240024500,1240006600,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,135.0,,,1240024300,2
1240024302,1240007400,1240024500,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,145.0,,,1240024300,1
1240024401,1240006600,1240024500,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,135.0,,,1240024400,1
1240024402,1240024500,1240007400,1,104,특별.광역시도,000,일반도로,-,고덕로55길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,145.0,,,1240024400,2
1240024500,1240024700,1240024400,1,104,특별.광역시도,000,일반도로,-,동남로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,392.0,,,1240024500,1
1240024600,1240024400,1240024700,1,104,특별.광역시도,000,일반도로,-,동남로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,386.0,,,1240024600,1
1240024701,1240024800,1240024000,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,169.0,,,1240024700,2
1240024702,1240007200,1240024800,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,104.0,,,1240024700,1
1240027901,1240008000,1240026000,3,104,특별.광역시도,000,일반도로,-,아리수로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,132.0,,,1240027900,1
1240024802,1240024800,1240007200,2,104,특별.광역시도,000,일반도로,-,양재대로,0,사용,0,독립구간,000,연결로 아님,50,0,모두통행가능,0,0,108.0,,,1240024800,2
1240024900,1240007300,1240024400,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,216.0,,,1240024900,1
1240025000,1240024400,1240007300,2,104,특별.광역시도,000,일반도로,-,고덕로61길,0,사용,0,독립구간,000,연결로 아님,60,0,모두통행가능,0,0,207.0,,,1240025000,1
1240025101,1240024600,1240006700,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,99.0,,,1240025100,2
1240025102,1240025300,1240024600,1,104,특별.광역시도,000,일반도로,-,고덕로79길,0,사용,0,독립구간,000,연결로 아님,30,0,모두통행가능,0,0,313.0,,,1240025100,1
